timestamp,integer
2.35,7.0
5.37,1.0
10.31,7.0
13.37,5.0
17.3,5.0
20.37,1.0
23.46,1.0
27.31,7.0
30.38,5.0
33.4,7.0
37.24,7.0
40.32,1.0
43.38,5.0
47.3,7.0
50.3,7.0
53.37,7.0
57.3,1.0
60.29,7.0
63.38,1.0
67.16,7.0
70.32,7.0
73.37,7.0
76.78,1.0
80.3,1.0
83.38,7.0
86.54,7.0
90.31,7.0
93.38,7.0
96.79,7.0
100.3,5.0
103.37,7.0
106.79,7.0
110.3,7.0
113.37,7.0
116.62,7.0
120.3,1.0
123.38,5.0
126.45,1.0
130.3,5.0
133.4,7.0
136.41,7.0
140.3,7.0
143.34,5.0
146.41,7.0
150.29,5.0
153.38,1.0
156.4,1.0
160.31,7.0
163.33,7.0
166.37,7.0
170.1,7.0
173.32,7.0
176.36,7.0
179.84,7.0
183.31,1.0
186.38,7.0
189.77,7.0
193.3,5.0
196.38,7.0
199.71,7.0
203.3,7.0
206.38,7.0
209.65,7.0
213.3,5.0
216.38,5.0
219.37,5.0
223.29,7.0
226.3,7.0
229.38,7.0
233.15,7.0
236.3,1.0
239.37,1.0
242.89,7.0
246.3,7.0
249.37,7.0
252.73,7.0
256.33,7.0
259.38,7.0
262.56,7.0
266.3,7.0
269.29,7.0
272.37,7.0
276.03,7.0
279.3,7.0
282.37,7.0
285.82,7.0
289.3,1.0
292.37,5.0
295.74,7.0
299.3,7.0
302.37,7.0
305.49,5.0
309.32,7.0
312.39,1.0
316.24,5.0
319.3,7.0
322.37,7.0
325.92,7.0
329.31,7.0
332.37,7.0
335.83,7.0
339.3,5.0
342.37,7.0
345.68,5.0
349.3,7.0
352.38,7.0
355.51,7.0
359.3,1.0
362.38,7.0
365.44,7.0
369.3,5.0
372.38,1.0
376.29,7.0
379.34,7.0
382.37,7.0
386.22,5.0
389.3,1.0
392.38,7.0
395.84,7.0
399.29,7.0
402.36,5.0
405.52,1.0
409.3,1.0
412.38,7.0
415.47,1.0
419.31,7.0
422.42,1.0
425.38,5.0
429.3,7.0
432.3,7.0
435.37,1.0
439.17,5.0
442.3,5.0
445.36,7.0
448.72,1.0
452.31,7.0
455.38,1.0
458.49,7.0
462.33,7.0
465.37,7.0
468.45,1.0
472.3,7.0
475.3,7.0
478.37,7.0
482.17,7.0
485.31,5.0
488.38,7.0
492.14,7.0
495.3,7.0
498.37,7.0
502.21,7.0
505.31,7.0
508.37,7.0
512.2,7.0
515.31,1.0
518.38,7.0
522.04,7.0
525.32,7.0
528.38,7.0
