timestamp,output,input,relevant,string_output
5.04,0,0,0,0
10.06,0,0,0,0
20.07,0,0,0,0
25.1,7.222222222222223,"{'HR_bpm': [60.0], 'Activiteit_sport': [1.0], 'Poi_sport': [6.0], 'BewegingSport_recent': 0}","{1: array([0.35135135]), 2: array([0.25]), 5: array([0.66666667])}",7.222222222222223
30.12,0,0,0,0
35.14,0,0,0,0
40.18,7.222222222222223,"{'HR_bpm': [59.0], 'Activiteit_sport': [1.0], 'Poi_sport': [2.0], 'BewegingSport_recent': 0}","{1: array([0.36216216]), 2: array([0.66666667]), 5: array([0.66666667])}",7.222222222222223
45.21,0,0,0,0
50.22,0,0,0,0
55.24,0,0,0,0
60.26,0,0,0,0
65.28,7.222222222222223,"{'HR_bpm': [62.0], 'Activiteit_sport': [1.0], 'Poi_sport': [6.0], 'BewegingSport_recent': 0}","{1: array([0.32972973]), 2: array([0.25]), 5: array([0.66666667])}",7.222222222222223
70.31,0,0,0,0
75.33,0,0,0,0
80.37,7.222222222222223,"{'HR_bpm': [80.87], 'Activiteit_sport': [1.0], 'Poi_sport': [2.0], 'BewegingSport_recent': 0}","{1: array([0.12572973]), 2: array([0.66666667]), 5: array([0.66666667])}",7.222222222222223
85.39,45.751726006640574,"{'HR_bpm': [134.89], 'Activiteit_sport': [7.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{9: array([0.25]), 10: array([0.70864865]), 16: array([0.25])}",45.751726006640574
90.43,63.03828056792848,"{'HR_bpm': [152.0], 'Activiteit_sport': [7.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{6: array([0.10810811]), 8: array([0.10810811]), 15: array([0.10810811])}",63.03828056792848
95.45,66.96975159060467,"{'HR_bpm': [205.0], 'Activiteit_sport': [7.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{6: array([0.25]), 8: array([0.42857143]), 15: array([0.25])}",66.96975159060467
100.48,8.090398090398093,"{'HR_bpm': [91.0], 'Activiteit_sport': [5.0], 'Poi_sport': [8.0], 'BewegingSport_recent': 0}",{3: array([0.41891892])},8.090398090398093
105.52,62.889586603872395,"{'HR_bpm': [224.0], 'Activiteit_sport': [7.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{6: array([0.02857143]), 8: array([0.02857143]), 15: array([0.02857143])}",62.889586603872395
110.54,62.889586603872395,"{'HR_bpm': [233.06], 'Activiteit_sport': [7.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{6: array([0.02857143]), 8: array([0.02857143]), 15: array([0.02857143])}",62.889586603872395
115.58,62.889586603872395,"{'HR_bpm': [220.0], 'Activiteit_sport': [7.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{6: array([0.02857143]), 8: array([0.02857143]), 15: array([0.02857143])}",62.889586603872395
120.6,7.222222222222223,"{'HR_bpm': [61.0], 'Activiteit_sport': [1.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{1: array([0.34054054]), 5: array([0.66666667])}",7.222222222222223
125.62,0,0,0,0
130.64,0,0,0,0
135.67,0,0,0,0
140.69,0,0,0,0
145.71,0,0,0,0
150.74,0,0,0,0
155.78,7.222222222222223,"{'HR_bpm': [60.0], 'Activiteit_sport': [1.0], 'Poi_sport': [0.0], 'BewegingSport_recent': 0}","{1: array([0.35135135]), 2: array([0.66666667]), 5: array([0.66666667])}",7.222222222222223
160.8,0,0,0,0
165.83,0,0,0,0
170.85,0,0,0,0
175.87,0,0,0,0
180.9,0,0,0,0
185.93,7.222222222222223,"{'HR_bpm': [60.0], 'Activiteit_sport': [1.0], 'Poi_sport': [2.0], 'BewegingSport_recent': 0}","{1: array([0.35135135]), 2: array([0.66666667]), 5: array([0.66666667])}",7.222222222222223
190.93,0,0,0,0
195.96,0,0,0,0
200.99,0,0,0,0
206.0,0,0,0,0
211.01,0,0,0,0
216.04,0,0,0,0
221.06,0,0,0,0
226.08,0,0,0,0
231.1,0,0,0,0
236.13,7.222222222222223,"{'HR_bpm': [62.0], 'Activiteit_sport': [1.0], 'Poi_sport': [6.0], 'BewegingSport_recent': 0}","{1: array([0.32972973]), 2: array([0.25]), 5: array([0.66666667])}",7.222222222222223
241.16,7.222222222222223,"{'HR_bpm': [62.0], 'Activiteit_sport': [1.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{1: array([0.32972973]), 5: array([0.66666667])}",7.222222222222223
246.19,0,0,0,0
251.2,0,0,0,0
256.21,0,0,0,0
261.24,0,0,0,0
266.26,0,0,0,0
271.3,0,0,0,0
276.31,0,0,0,0
281.34,0,0,0,0
286.36,0,0,0,0
291.38,7.222222222222223,"{'HR_bpm': [60.0], 'Activiteit_sport': [1.0], 'Poi_sport': [4.0], 'BewegingSport_recent': 0}","{1: array([0.35135135]), 2: array([0.5]), 5: array([0.66666667])}",7.222222222222223
296.4,0,0,0,0
301.43,0,0,0,0
306.45,0,0,0,0
311.47,0,0,0,0
316.5,0,0,0,0
321.51,0,0,0,0
326.53,0,0,0,0
331.54,0,0,0,0
336.55,0,0,0,0
341.58,0,0,0,0
346.59,0,0,0,0
351.61,0,0,0,0
356.62,0,0,0,0
361.65,7.222222222222223,"{'HR_bpm': [60.0], 'Activiteit_sport': [1.0], 'Poi_sport': [4.0], 'BewegingSport_recent': 0}","{1: array([0.35135135]), 2: array([0.5]), 5: array([0.66666667])}",7.222222222222223
366.66,0,0,0,0
371.67,0,0,0,0
376.69,0,0,0,0
381.71,0,0,0,0
386.73,0,0,0,0
391.76,7.222222222222223,"{'HR_bpm': [62.0], 'Activiteit_sport': [1.0], 'Poi_sport': [8.0], 'BewegingSport_recent': 0}","{1: array([0.32972973]), 5: array([0.66666667])}",7.222222222222223
396.78,0,0,0,0
401.81,0,0,0,0
406.84,7.222222222222223,"{'HR_bpm': [60.0], 'Activiteit_sport': [1.0], 'Poi_sport': [4.0], 'BewegingSport_recent': 0}","{1: array([0.35135135]), 2: array([0.5]), 5: array([0.66666667])}",7.222222222222223
411.85,7.222222222222223,"{'HR_bpm': [60.0], 'Activiteit_sport': [1.0], 'Poi_sport': [8.0], 'BewegingSport_recent': 0}","{1: array([0.35135135]), 5: array([0.66666667])}",7.222222222222223
416.88,7.222222222222223,"{'HR_bpm': [60.0], 'Activiteit_sport': [1.0], 'Poi_sport': [6.0], 'BewegingSport_recent': 0}","{1: array([0.35135135]), 2: array([0.25]), 5: array([0.66666667])}",7.222222222222223
421.92,0,0,0,0
426.93,0,0,0,0
431.95,0,0,0,0
436.97,7.222222222222223,"{'HR_bpm': [62.0], 'Activiteit_sport': [1.0], 'Poi_sport': [4.0], 'BewegingSport_recent': 0}","{1: array([0.32972973]), 2: array([0.5]), 5: array([0.66666667])}",7.222222222222223
441.98,0,0,0,0
447.0,0,0,0,0
452.02,7.222222222222223,"{'HR_bpm': [61.0], 'Activiteit_sport': [1.0], 'Poi_sport': [10.0], 'BewegingSport_recent': 0}","{1: array([0.34054054]), 5: array([0.66666667])}",7.222222222222223
