timestamp,output,input,relevant,string_output
5.22,0,0,0,0
10.24,0,0,0,0
15.26,0,0,0,0
20.29,0,0,0,0
25.31,0,0,0,0
30.32,0,0,0,0
35.36,0,0,0,0
40.39,0,0,0,0
45.41,0,0,0,0
50.45,0,0,0,0
55.47,0,0,0,0
60.49,0,0,0,0
65.52,0,0,0,0
70.54,0,0,0,0
75.57,0,0,0,0
80.59,0,0,0,0
85.61,0,0,0,0
90.63,0,0,0,0
95.67,0,0,0,0
100.7,0,0,0,0
105.72,0,0,0,0
110.74,0,0,0,0
115.77,0,0,0,0
120.8,0,0,0,0
125.83,0,0,0,0
130.85,0,0,0,0
135.87,0,0,0,0
140.91,0,0,0,0
145.95,0,0,0,0
150.99,0,0,0,0
156.01,0,0,0,0
161.04,0,0,0,0
166.06,0,0,0,0
171.08,0,0,0,0
176.11,0,0,0,0
181.13,0,0,0,0
186.15,0,0,0,0
191.19,0,0,0,0
196.21,0,0,0,0
201.23,0,0,0,0
206.25,0,0,0,0
211.28,0,0,0,0
216.3,0,0,0,0
221.32,0,0,0,0
226.35,0,0,0,0
231.37,0,0,0,0
236.4,0,0,0,0
241.42,0,0,0,0
246.47,0,0,0,0
251.5,0,0,0,0
256.53,0,0,0,0
261.55,0,0,0,0
266.57,0,0,0,0
271.6,0,0,0,0
276.63,0,0,0,0
281.64,0,0,0,0
286.66,0,0,0,0
291.68,0,0,0,0
296.71,0,0,0,0
301.74,0,0,0,0
306.76,91.55555555555556,"{'RMSSD_delta': [-92.1425], 'LF_HF_ratio': 0, 'LFn_delta': [-20.000000000000004], 'HFn_delta': [-60.0], 'LF_delta': [-96.72860000000001], 'HF_delta': [-98.1534]}",{37: array([0.33333333])},91.55555555555556
311.8,90.80808080808082,"{'RMSSD_delta': [-92.16], 'LF_HF_ratio': 0, 'LFn_delta': [-20.000000000000004], 'HFn_delta': [-50.0], 'LF_delta': [-97.0692], 'HF_delta': [-98.1542]}",{37: array([0.16666667])},90.80808080808082
316.83,90.80808080808082,"{'RMSSD_delta': [-92.2], 'LF_HF_ratio': 0, 'LFn_delta': [-20.000000000000004], 'HFn_delta': [-50.0], 'LF_delta': [-97.0274], 'HF_delta': [-98.2836]}",{37: array([0.16666667])},90.80808080808082
321.85,90.80808080808082,"{'RMSSD_delta': [-92.24], 'LF_HF_ratio': 0, 'LFn_delta': [-10.000000000000009], 'HFn_delta': [-50.0], 'LF_delta': [-97.03719999999998], 'HF_delta': [-98.3416]}",{37: array([0.16666667])},90.80808080808082
326.88,90.80808080808082,"{'RMSSD_delta': [-92.2175], 'LF_HF_ratio': 0, 'LFn_delta': [-20.000000000000004], 'HFn_delta': [-50.0], 'LF_delta': [-97.066], 'HF_delta': [-98.3953]}",{37: array([0.16666667])},90.80808080808082
