timestamp,delta_absolute,delta_percentage,delta_absolute_past,delta_percentage_past
5.06,0.0,0.0,0.0,0.0
10.08,0.0,0.0,0.0,0.0
15.1,0.0,0.0,0.0,0.0
20.12,0.0,0.0,0.0,0.0
25.13,0.0,0.0,0.0,0.0
30.15,0.0,0.0,0.0,0.0
40.17,0.0,0.0,0.0,0.0
45.2,0.0,0.0,0.0,0.0
50.22,0.0,0.0,0.0,0.0
55.24,0.0,0.0,0.0,0.0
60.28,0.0,0.0,0.0,0.0
65.3,0.0,0.0,0.1,0
70.32,0.0,0.0,0.1,0
75.35,0.0,0.0,0.1,0
80.37,0.0,0.0,0.1,0
85.38,0.0,0.0,0.1,0
90.42,0.0,0.0,0.1,0
95.44,0.0,0.0,0.1,0
100.48,0.0,0.0,0.1,0
105.51,0.0,0.0,0.1,0
110.54,0.0,0.0,0.1,0
115.56,0.0,0.0,0.1,0
120.59,0.0,0.0,0.1,0
125.62,0.0,0.0,0.1,0
130.65,0.0,0.0,0.1,0
135.68,0.0,0.0,0.1,0
140.71,0.0,0.0,0.1,0
145.73,0.0,0.0,0.1,0
150.75,0.0,0.0,0.1,0
155.79,0.0,0.0,0.1,0
160.82,0.0,0.0,0.1,0
165.86,0.0,0.0,0.1,0
170.89,0.0,0.0,0.1,0
175.92,0.0,0.0,0.1,0
180.94,0.0,0.0,0.1,0
185.96,0.0,0.0,0.1,0
190.98,0.0,0.0,0.1,0
196.0,0.0,0.0,0.1,0
201.05,0.0,0.0,0.1,0
206.08,0.0,0.0,0.1,0
211.11,0.0,0.0,0.1,0
216.13,0.0,0.0,0.1,0
221.16,0.0,0.0,0.1,0
226.19,0.0,0.0,0.1,0
231.23,0.0,0.0,0.1,0
236.25,0.0,0.0,0.1,0
241.28,0.0,0.0,0.1,0
246.29,0.0,0.0,0.1,0
251.31,0.0,0.0,0.1,0
256.35,0.0,0.0,0.1,0
261.39,0.0,0.0,0.1,0
266.41,0.0,0.0,0.1,0
271.42,0.0,0.0,0.1,0
276.44,0.0,0.0,0.1,0
281.46,0.0,0.0,0.1,0
286.49,0.0,0.0,0.1,0
291.51,0.0,0.0,0.1,0
296.53,0.0,0.0,0.1,0
301.56,0.0,0.0,0.1,0
306.65,-0.05,-50.0,0.05,0
311.71,-0.05,-50.0,0.1,-200.0
316.77,-0.05,-50.0,0.1,-200.0
321.82,-0.05,-50.0,0.1,-200.0
326.87,-0.05,-50.0,0.1,-200.0
331.93,-0.05,-50.0,0.1,-200.0
336.99,-0.05,-50.0,0.1,-200.0
342.04,-0.05,-50.0,0.1,-200.0
347.1,-0.020000000000000004,-20.000000000000004,0.13,-260.0
352.15,-0.04000000000000001,-40.00000000000001,0.08,-399.9999999999999
357.21,-0.03,-30.0,0.11000000000000001,-275.0
362.26,-0.03,-30.0,0.1,-333.33333333333337
367.32,-0.020000000000000004,-20.000000000000004,0.11,-366.6666666666667
372.38,0.0,0.0,0.12000000000000001,-599.9999999999999
377.42,-0.020000000000000004,-20.000000000000004,0.08,0
382.47,-0.03,-30.0,0.09000000000000001,-450.0
387.52,-0.020000000000000004,-20.000000000000004,0.11,-366.6666666666667
392.56,-0.04000000000000001,-40.00000000000001,0.08,-399.9999999999999
397.61,-0.020000000000000004,-20.000000000000004,0.12000000000000001,-299.99999999999994
402.69,-0.010000000000000009,-10.000000000000009,0.11,-549.9999999999999
407.8,-0.020000000000000004,-20.000000000000004,0.09000000000000001,-899.9999999999993
412.92,-0.060000000000000005,-60.0,0.060000000000000005,-299.99999999999994
418.0,-0.060000000000000005,-60.0,0.1,-166.66666666666666
423.08,-0.04000000000000001,-40.00000000000001,0.12,-199.99999999999997
428.16,-0.05,-50.0,0.09000000000000001,-225.0
433.23,-0.05,-50.0,0.1,-200.0
438.32,-0.05,-50.0,0.1,-200.0
443.39,-0.060000000000000005,-60.0,0.09,-179.99999999999997
448.52,-0.04000000000000001,-40.00000000000001,0.12,-199.99999999999997
453.59,-0.04000000000000001,-40.00000000000001,0.1,-249.99999999999994
458.7,-0.07,-70.0,0.07,-174.99999999999997
463.8,-0.04000000000000001,-40.00000000000001,0.13,-185.7142857142857
468.91,-0.04000000000000001,-40.00000000000001,0.1,-249.99999999999994
474.01,-0.04000000000000001,-40.00000000000001,0.1,-249.99999999999994
479.1,-0.07,-70.0,0.07,-174.99999999999997
484.22,-0.07,-70.0,0.1,-142.85714285714286
489.3,-0.08,-80.0,0.09000000000000001,-128.57142857142858
494.38,-0.060000000000000005,-60.0,0.12,-150.0
499.44,-0.08,-80.0,0.08,-133.33333333333331
504.5,-0.060000000000000005,-60.0,0.12,-150.0
509.59,-0.08,-80.0,0.08,-133.33333333333331
514.68,-0.07,-70.0,0.11,-137.5
519.77,-0.08,-80.0,0.09000000000000001,-128.57142857142858
524.88,-0.08,-80.0,0.1,-125.0
