timestamp,delta_absolute,delta_percentage,delta_absolute_past,delta_percentage_past
5.06,0.0,0.0,0.0,0.0
10.08,0.0,0.0,0.0,0.0
15.1,0.0,0.0,0.0,0.0
20.12,0.0,0.0,0.0,0.0
25.13,0.0,0.0,0.0,0.0
30.15,0.0,0.0,0.0,0.0
40.17,0.0,0.0,0.0,0.0
45.2,0.0,0.0,0.0,0.0
50.22,0.0,0.0,0.0,0.0
55.24,0.0,0.0,0.0,0.0
60.27,0.0,0.0,0.0,0.0
65.3,0.0,0.0,0.1,0
70.32,0.0,0.0,0.1,0
75.34,0.0,0.0,0.1,0
80.37,0.0,0.0,0.1,0
85.38,0.0,0.0,0.1,0
90.39,0.0,0.0,0.1,0
95.44,0.0,0.0,0.1,0
100.46,0.0,0.0,0.1,0
105.5,0.0,0.0,0.1,0
110.52,0.0,0.0,0.1,0
115.55,0.0,0.0,0.1,0
120.58,0.0,0.0,0.1,0
125.6,0.0,0.0,0.1,0
130.63,0.0,0.0,0.1,0
135.67,0.0,0.0,0.1,0
140.7,0.0,0.0,0.1,0
145.73,0.0,0.0,0.1,0
150.74,0.0,0.0,0.1,0
155.77,0.0,0.0,0.1,0
160.82,0.0,0.0,0.1,0
165.85,0.0,0.0,0.1,0
170.88,0.0,0.0,0.1,0
175.91,0.0,0.0,0.1,0
180.93,0.0,0.0,0.1,0
185.96,0.0,0.0,0.1,0
190.97,0.0,0.0,0.1,0
195.99,0.0,0.0,0.1,0
201.05,0.0,0.0,0.1,0
206.07,0.0,0.0,0.1,0
211.11,0.0,0.0,0.1,0
216.11,0.0,0.0,0.1,0
221.16,0.0,0.0,0.1,0
226.18,0.0,0.0,0.1,0
231.22,0.0,0.0,0.1,0
236.24,0.0,0.0,0.1,0
241.27,0.0,0.0,0.1,0
246.29,0.0,0.0,0.1,0
251.3,0.0,0.0,0.1,0
256.33,0.0,0.0,0.1,0
261.37,0.0,0.0,0.1,0
266.4,0.0,0.0,0.1,0
271.42,0.0,0.0,0.1,0
276.43,0.0,0.0,0.1,0
281.45,0.0,0.0,0.1,0
286.48,0.0,0.0,0.1,0
291.5,0.0,0.0,0.1,0
296.53,0.0,0.0,0.1,0
301.54,0.0,0.0,0.1,0
306.64,-0.020000000000000004,-20.000000000000004,0.08,0
311.7,-0.020000000000000004,-20.000000000000004,0.1,-499.9999999999999
316.77,-0.010000000000000009,-10.000000000000009,0.11,-549.9999999999999
321.81,-0.010000000000000009,-10.000000000000009,0.1,-999.9999999999991
326.86,-0.010000000000000009,-10.000000000000009,0.1,-999.9999999999991
331.92,-0.020000000000000004,-20.000000000000004,0.09000000000000001,-899.9999999999993
336.98,-0.020000000000000004,-20.000000000000004,0.1,-499.9999999999999
342.03,-0.03,-30.0,0.09000000000000001,-450.0
347.1,-0.04000000000000001,-40.00000000000001,0.09,-300.0
352.15,-0.020000000000000004,-20.000000000000004,0.12000000000000001,-299.99999999999994
357.2,-0.020000000000000004,-20.000000000000004,0.1,-499.9999999999999
362.26,-0.020000000000000004,-20.000000000000004,0.1,-499.9999999999999
367.31,-0.020000000000000004,-20.000000000000004,0.1,-499.9999999999999
372.37,-0.03,-30.0,0.09000000000000001,-450.0
377.42,-0.03,-30.0,0.1,-333.33333333333337
382.46,-0.03,-30.0,0.1,-333.33333333333337
387.51,-0.03,-30.0,0.1,-333.33333333333337
392.55,-0.020000000000000004,-20.000000000000004,0.11,-366.6666666666667
397.61,-0.020000000000000004,-20.000000000000004,0.1,-499.9999999999999
402.68,-0.020000000000000004,-20.000000000000004,0.1,-499.9999999999999
407.78,-0.020000000000000004,-20.000000000000004,0.1,-499.9999999999999
412.9,-0.04000000000000001,-40.00000000000001,0.08,-399.9999999999999
417.99,-0.03,-30.0,0.11000000000000001,-275.0
423.08,-0.03,-30.0,0.1,-333.33333333333337
428.15,-0.04000000000000001,-40.00000000000001,0.09,-300.0
433.23,-0.04000000000000001,-40.00000000000001,0.1,-249.99999999999994
438.31,-0.05,-50.0,0.09000000000000001,-225.0
443.38,-0.05,-50.0,0.1,-200.0
448.49,-0.04000000000000001,-40.00000000000001,0.11,-219.99999999999997
453.59,-0.04000000000000001,-40.00000000000001,0.1,-249.99999999999994
458.68,-0.060000000000000005,-60.0,0.08000000000000002,-200.0
463.8,-0.05,-50.0,0.11000000000000001,-183.33333333333334
468.89,-0.04000000000000001,-40.00000000000001,0.11,-219.99999999999997
473.99,-0.03,-30.0,0.11000000000000001,-275.0
479.09,-0.05,-50.0,0.08,-266.6666666666667
484.22,-0.05,-50.0,0.1,-200.0
489.3,-0.05,-50.0,0.1,-200.0
494.37,-0.03,-30.0,0.12000000000000001,-240.0
499.42,-0.05,-50.0,0.08,-266.6666666666667
504.49,-0.05,-50.0,0.1,-200.0
509.57,-0.05,-50.0,0.1,-200.0
514.68,-0.05,-50.0,0.1,-200.0
519.76,-0.05,-50.0,0.1,-200.0
524.87,-0.05,-50.0,0.1,-200.0
