timestamp,output,input,relevant,string_output
3.5,-1.0,"{'fysiologische_stressreactie': 0, 'BewegingSport': 0, 'Roken': [-1], 'Cafeïne': [-1], 'Temperatuurschommeling': [-1.7399999999999984]}",{40: 1.0},-1.0
5.53,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [0], 'Roken': [1], 'Cafeïne': [-3.03], 'Temperatuurschommeling': [1.2100000000000009]}",{40: array([1.])},-1.0
7.55,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [0], 'Roken': [1], 'Cafeïne': [-3.03], 'Temperatuurschommeling': [1.2100000000000009]}",{40: array([1.])},-1.0
9.57,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [0], 'Roken': [1], 'Cafeïne': [-3.03], 'Temperatuurschommeling': [1.2100000000000009]}",{40: array([1.])},-1.0
11.58,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [7.222222222222223], 'Roken': [-1], 'Cafeïne': [-7.960000000000001], 'Temperatuurschommeling': [0.7199999999999989]}",{40: array([1.])},-1.0
13.6,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [7.222222222222223], 'Roken': [1], 'Cafeïne': [-11.030000000000001], 'Temperatuurschommeling': [-0.03999999999999915]}",{40: array([1.])},-1.0
15.62,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [0], 'Roken': [1], 'Cafeïne': [-11.030000000000001], 'Temperatuurschommeling': [-0.03999999999999915]}",{40: array([1.])},-1.0
17.64,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [0], 'Roken': [-1], 'Cafeïne': [1], 'Temperatuurschommeling': [-0.1999999999999993]}",{40: array([1.])},-1.0
19.66,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [0], 'Roken': [-1], 'Cafeïne': [1], 'Temperatuurschommeling': [-0.1999999999999993]}",{40: array([1.])},-1.0
21.67,-1.0,"{'fysiologische_stressreactie': [0], 'BewegingSport': [0], 'Roken': [1], 'Cafeïne': [3.0799999999999983], 'Temperatuurschommeling': [-0.3999999999999986]}",{40: array([1.])},-1.0
