timestamp,string
2.08,restaurant
5.11,office
10.03,gym
13.1,office
17.05,arena
20.11,playground
23.19,school
27.04,gym
30.13,office
33.13,gym
36.98,park
40.04,bar
43.12,school
47.03,restaurant
50.05,gym
53.1,gym
57.05,park
60.05,office
63.12,university
66.92,gym
70.04,gym
73.12,recreation_center
76.57,university
80.04,bar
83.12,gym
86.29,gym
90.04,gym
93.11,gym
96.53,gym
100.04,park
103.11,gym
106.52,gym
110.04,gym
113.11,gym
116.34,university
120.05,gym
123.1,bar
126.17,bar
130.05,university
133.09,gym
136.14,gym
140.05,gym
143.06,school
146.14,restaurant
150.05,school
153.11,default
156.15,home
160.05,recreation_center
163.06,gym
166.11,gym
169.84,university
173.04,default
176.12,gym
179.59,school
183.05,restaurant
186.11,arena
189.52,gym
193.04,park
196.1,default
199.44,gym
203.03,gym
206.11,gym
209.4,park
213.04,shop
216.12,office
219.11,home
223.04,school
226.05,default
229.11,gym
232.88,school
236.05,university
239.11,playground
242.63,home
246.05,gym
249.11,gym
252.47,stadium
256.04,school
259.12,gym
262.3,gym
266.04,arena
269.04,school
272.1,university
275.76,gym
279.05,bar
282.11,shop
285.55,gym
289.04,shop
292.11,restaurant
295.47,gym
299.03,gym
302.12,university
305.24,office
309.05,stadium
312.1,default
315.99,school
319.04,restaurant
322.11,gym
325.67,shop
329.04,park
332.1,shop
335.57,gym
339.05,gym
342.12,gym
345.42,home
349.04,gym
352.11,restaurant
355.26,gym
359.04,home
362.1,gym
365.18,park
369.04,default
372.12,gym
376.03,gym
379.08,gym
382.12,school
385.96,shop
389.04,recreation_center
392.11,gym
395.58,arena
399.05,gym
402.11,school
405.25,office
409.05,park
412.1,gym
415.19,school
419.04,gym
422.12,office
425.11,recreation_center
429.03,gym
432.04,gym
435.12,shop
438.9,arena
442.04,stadium
445.11,office
448.47,arena
452.05,gym
455.1,arena
458.24,gym
462.04,gym
465.11,gym
468.13,arena
472.05,stadium
475.04,school
478.12,gym
481.91,restaurant
485.04,playground
488.12,recreation_center
491.87,gym
495.04,arena
498.1,gym
501.95,arena
505.03,gym
508.11,default
511.94,gym
515.05,bar
518.09,gym
521.77,gym
525.04,gym
528.12,gym
531.65,gym
535.04,gym
538.12,university
541.59,university
545.05,playground
548.11,gym
551.43,park
555.04,stadium
558.12,bar
561.31,gym
565.05,home
568.11,gym
571.4,restaurant
575.04,gym
578.1,recreation_center
581.43,home
585.04,playground
588.11,bar
591.52,gym
595.05,gym
598.1,university
601.35,gym
606.03,home
609.1,gym
612.49,recreation_center
616.05,gym
619.1,stadium
623.03,park
626.07,gym
629.11,playground
633.03,gym
636.09,gym
639.73,bar
643.04,school
646.1,recreation_center
649.35,default
653.05,playground
656.12,default
659.54,gym
663.05,park
666.11,arena
669.33,gym
673.04,stadium
676.11,gym
679.12,shop
683.02,arena
686.05,default
689.11,park
693.05,gym
696.11,shop
699.12,recreation_center
703.06,shop
706.04,arena
709.12,gym
712.78,stadium
716.05,gym
719.13,gym
722.76,gym
726.03,recreation_center
729.1,playground
732.95,gym
736.04,shop
739.1,gym
742.71,bar
746.04,shop
749.11,gym
752.63,stadium
756.04,recreation_center
759.11,playground
762.53,gym
766.04,university
769.12,home
772.47,gym
776.05,recreation_center
779.11,bar
782.18,home
786.03,home
789.04,gym
792.35,bar
795.75,gym
798.72,gym
801.85,school
804.92,recreation_center
808.05,shop
811.12,recreation_center
814.6,gym
818.05,home
821.1,gym
824.56,gym
828.12,shop
832.15,bar
835.11,office
838.81,arena
842.05,gym
845.11,school
848.94,stadium
852.05,playground
855.11,gym
858.92,shop
862.05,gym
865.12,arena
868.3,shop
872.05,park
875.11,gym
878.63,gym
