timestamp,delta_absolute,delta_percentage,delta_absolute_past,delta_percentage_past
5.03,0.0,0.0,0.0,0.0
10.08,0.0,0.0,0.0,0.0
15.09,0.0,0.0,0.0,0.0
20.11,0.0,0.0,0.0,0.0
25.13,0.0,0.0,0.0,0.0
30.15,0.0,0.0,0.0,0.0
35.19,0.0,0.0,0.0,0.0
40.23,0.0,0.0,0.0,0.0
45.27,0.0,0.0,0.0,0.0
50.3,0.0,0.0,0.0,0.0
55.34,0.0,0.0,0.0,0.0
60.36,0.0,0.0,0.0,0.0
65.41,0.0,0.0,400.0,0
70.45,0.0,0.0,400.0,0
75.49,0.0,0.0,400.0,0
80.53,0.0,0.0,400.0,0
85.57,0.0,0.0,400.0,0
90.6,0.0,0.0,400.0,0
95.67,0.0,0.0,400.0,0
100.73,0.0,0.0,400.0,0
105.77,0.0,0.0,400.0,0
110.81,0.0,0.0,400.0,0
115.84,0.0,0.0,400.0,0
120.88,0.0,0.0,400.0,0
125.92,0.0,0.0,400.0,0
130.94,0.0,0.0,400.0,0
135.99,0.0,0.0,400.0,0
141.0,0.0,0.0,400.0,0
146.04,0.0,0.0,400.0,0
151.08,0.0,0.0,400.0,0
156.11,0.0,0.0,400.0,0
161.15,0.0,0.0,400.0,0
166.19,0.0,0.0,400.0,0
171.22,0.0,0.0,400.0,0
176.26,0.0,0.0,400.0,0
181.31,0.0,0.0,400.0,0
186.35,0.0,0.0,400.0,0
191.38,0.0,0.0,400.0,0
196.42,0.0,0.0,400.0,0
201.46,0.0,0.0,400.0,0
206.49,0.0,0.0,400.0,0
211.52,0.0,0.0,400.0,0
216.54,0.0,0.0,400.0,0
221.56,0.0,0.0,400.0,0
226.6,0.0,0.0,400.0,0
231.64,0.0,0.0,400.0,0
236.66,0.0,0.0,400.0,0
241.69,0.0,0.0,400.0,0
246.74,0.0,0.0,400.0,0
251.77,0.0,0.0,400.0,0
256.81,0.0,0.0,400.0,0
261.85,0.0,0.0,400.0,0
266.89,0.0,0.0,400.0,0
271.93,0.0,0.0,400.0,0
276.95,0.0,0.0,400.0,0
282.0,0.0,0.0,400.0,0
287.04,0.0,0.0,400.0,0
292.06,0.0,0.0,400.0,0
297.1,0.0,0.0,400.0,0
302.26,-368.57,-92.1425,31.43,0
307.37,-368.64,-92.16,399.93,-108.50856011069811
312.43,-368.8,-92.2,399.84,-108.46354166666667
317.5,-368.96,-92.24,399.84000000000003,-108.41648590021693
322.55,-368.87,-92.2175,400.09,-108.43722896790979
327.6,-368.34,-92.085,400.53000000000003,-108.58296960988967
332.67,-369.01,-92.2525,399.33,-108.41342238149537
337.71,-369.53,-92.3825,399.48,-108.25722880138751
342.78,-368.85,-92.2125,400.67999999999995,-108.42962682326198
347.84,-369.1,-92.275,399.75,-108.37738918259454
352.89,-369.38,-92.345,399.72,-108.29585478190194
357.93,-369.76,-92.44,399.62,-108.1866912123017
362.98,-369.84,-92.46,399.92,-108.15664214625704
368.03,-369.8,-92.45,400.03999999999996,-108.16569327276659
373.11,-369.7,-92.425,400.1,-108.19361817198485
378.19,-368.79,-92.1975,400.90999999999997,-108.44197998377061
