timestamp,delta_absolute,delta_percentage,delta_absolute_past,delta_percentage_past
2.34,-1.7399999999999984,-7.249999999999994,-1.7399999999999984,-7.249999999999994
5.37,1.2100000000000009,5.04166666666667,1.2100000000000009,5.04166666666667
10.31,0.7199999999999989,2.9999999999999956,0.7199999999999989,2.9999999999999956
13.37,-0.03999999999999915,-0.16666666666666313,-0.03999999999999915,-0.16666666666666313
17.29,-0.1999999999999993,-0.8333333333333304,-0.1999999999999993,-0.8333333333333304
20.37,-0.3999999999999986,-1.6666666666666607,-0.3999999999999986,-1.6666666666666607
23.46,-0.8000000000000007,-3.333333333333336,-0.8000000000000007,-3.333333333333336
27.3,0.9600000000000009,4.0000000000000036,0.9600000000000009,4.0000000000000036
30.38,0.07000000000000028,0.29166666666666785,0.07000000000000028,0.29166666666666785
33.39,-0.019999999999999574,-0.08333333333333157,-0.019999999999999574,-0.08333333333333157
37.24,-1.6000000000000014,-6.666666666666672,-1.6000000000000014,-6.666666666666672
40.32,-1.9200000000000017,-8.000000000000007,-1.9200000000000017,-8.000000000000007
43.38,3.469999999999999,14.458333333333329,3.469999999999999,14.458333333333329
47.3,0.4800000000000004,2.0000000000000018,0.4800000000000004,2.0000000000000018
50.3,2.0599999999999987,8.583333333333327,2.0599999999999987,8.583333333333327
53.37,0.7100000000000009,2.9583333333333366,0.7100000000000009,2.9583333333333366
57.3,-0.8000000000000007,-3.333333333333336,-0.8000000000000007,-3.333333333333336
60.29,3.5799999999999983,14.916666666666659,3.5799999999999983,14.916666666666659
63.38,-1.2600000000000016,-5.250000000000007,19.16,535.1955307262572
67.16,0.8900000000000006,3.7083333333333357,26.150000000000002,-2075.396825396823
70.31,-1.4499999999999993,-6.041666666666664,21.66,2433.707865168538
73.36,-0.620000000000001,-2.5833333333333375,24.83,-1712.413793103449
76.78,2.1099999999999994,8.791666666666664,26.73,-4311.2903225806385
80.3,1.1600000000000001,4.833333333333334,23.05,1092.4170616113747
83.38,1.3000000000000007,5.41666666666667,24.14,2081.0344827586205
86.53,2.9899999999999984,12.458333333333327,25.689999999999998,1976.153846153845
90.31,-1.6400000000000006,-6.833333333333336,19.37,647.8260869565221
93.38,3.4299999999999997,14.291666666666666,29.07,-1772.5609756097556
96.78,1.9100000000000001,7.958333333333334,22.48,655.393586005831
100.3,1.8500000000000014,7.708333333333339,23.94,1253.4031413612565
103.37,-1.8200000000000003,-7.583333333333335,20.33,1098.918918918918
106.78,3.460000000000001,14.41666666666667,29.28,-1608.7912087912086
110.3,-1.8299999999999983,-7.624999999999993,18.71,540.7514450867051
113.36,-0.8900000000000006,-3.7083333333333357,24.939999999999998,-1362.841530054646
116.6,3.379999999999999,14.083333333333329,28.27,-3176.4044943820204
120.3,-1.2399999999999984,-5.166666666666661,19.380000000000003,573.372781065089
123.37,0.39000000000000057,1.6250000000000024,25.63,-2066.93548387097
126.43,2.5599999999999987,10.666666666666663,26.169999999999998,6710.2564102564
130.3,1.379999999999999,5.7499999999999964,22.82,891.4062500000006
133.4,2.379999999999999,9.916666666666663,25.0,1811.594202898552
136.41,-0.8399999999999999,-3.4999999999999996,20.78,873.1092436974794
140.3,0.46999999999999886,1.9583333333333286,25.31,-3013.0952380952385
143.33,0.9899999999999984,4.124999999999993,24.52,5217.021276595758
146.41,-0.5399999999999991,-2.2499999999999964,22.470000000000002,2269.6969696969736
150.29,3.9899999999999984,16.624999999999993,28.529999999999998,-5283.333333333341
153.37,2.030000000000001,8.45833333333334,22.040000000000003,552.3809523809526
156.4,3.3000000000000007,13.750000000000004,25.27,1244.8275862068958
160.3,0.35999999999999943,1.4999999999999978,21.06,638.181818181818
163.32,3.5500000000000007,14.79166666666667,27.19,7552.77777777779
166.37,-0.48999999999999844,-2.04166666666666,19.96,562.2535211267605
170.1,-1.0500000000000007,-4.3750000000000036,23.439999999999998,-4783.67346938777
173.32,2.719999999999999,11.333333333333329,27.77,-2644.7619047619028
176.36,3.84,16.0,25.12,923.5294117647063
179.84,-1.629999999999999,-6.7916666666666625,18.53,482.55208333333337
183.31,-1.3999999999999986,-5.833333333333327,24.23,-1486.5030674846635
186.37,-0.08999999999999986,-0.37499999999999944,25.31,-1807.8571428571447
189.77,1.1600000000000001,4.833333333333334,25.25,-28055.5555555556
193.3,2.2300000000000004,9.29166666666667,25.07,2161.2068965517237
196.37,3.7300000000000004,15.541666666666668,25.5,1143.4977578475334
199.69,-1.2899999999999991,-5.3749999999999964,18.98,508.8471849865951
203.29,0.14000000000000057,0.5833333333333357,25.43,-1971.3178294573656
