timestamp,integer
2.34,22.26
5.37,25.21
10.31,24.72
13.37,23.96
17.29,23.8
20.37,23.6
23.46,23.2
27.3,24.96
30.38,24.07
33.39,23.98
37.24,22.4
40.32,22.08
43.38,27.47
47.3,24.48
50.3,26.06
53.36,24.71
57.3,23.2
60.29,27.58
63.37,22.74
67.16,24.89
70.31,22.55
73.36,23.38
76.78,26.11
80.3,25.16
83.38,25.3
86.53,26.99
90.31,22.36
93.38,27.43
96.78,25.91
100.3,25.85
103.37,22.18
106.78,27.46
110.3,22.17
113.36,23.11
116.6,27.38
120.3,22.76
123.37,24.39
126.43,26.56
130.3,25.38
133.35,26.38
136.41,23.16
140.3,24.47
143.33,24.99
146.41,23.46
150.29,27.99
153.37,26.03
156.4,27.3
160.3,24.36
163.32,27.55
166.37,23.51
170.1,22.95
173.31,26.72
176.36,27.84
179.84,22.37
183.31,22.6
186.37,23.91
189.77,25.16
193.3,26.23
196.37,27.73
199.69,22.71
203.29,24.14
206.38,23.6
209.65,26.84
213.29,22.98
216.38,27.26
219.37,26.64
223.29,27.3
226.3,27.82
229.37,25.44
233.15,24.75
236.3,24.91
239.36,27.37
242.89,23.25
246.3,24.25
249.37,25.85
252.73,26.3
256.33,22.34
259.37,27.87
262.56,23.99
266.3,23.24
269.29,23.84
272.36,27.91
276.02,26.01
279.3,23.47
282.37,23.21
285.81,22.45
289.3,24.18
292.36,26.94
295.74,23.65
299.29,24.21
302.37,26.57
305.49,26.18
309.32,24.47
312.38,22.99
316.24,27.36
319.3,25.45
322.36,23.54
325.91,23.42
329.31,24.69
332.37,24.42
335.83,22.41
339.29,27.66
342.37,26.72
345.67,24.98
349.29,23.96
352.37,23.09
355.51,23.0
359.29,23.44
362.37,23.32
365.44,26.26
369.29,26.62
372.37,24.18
376.28,22.96
379.33,25.87
382.37,24.0
386.22,27.59
389.29,26.73
392.37,27.93
395.83,27.32
399.29,22.03
402.36,22.36
405.52,27.39
409.3,22.71
412.36,25.57
415.46,24.13
419.3,22.2
422.41,22.5
425.37,26.59
429.3,27.05
432.29,24.18
435.37,23.48
439.16,24.96
442.3,22.91
445.36,25.7
448.71,26.44
452.31,26.22
455.37,27.59
458.49,25.61
462.32,25.57
465.37,26.42
468.4,26.35
472.29,23.68
475.29,26.78
478.37,27.43
482.16,26.68
485.3,27.1
488.37,27.09
492.14,23.49
495.3,26.96
498.37,26.31
502.2,23.94
505.29,26.05
508.36,26.04
512.19,26.81
515.31,22.0
518.37,25.88
522.04,26.04
525.3,25.46
528.37,26.66
