timestamp,delta_absolute,delta_percentage,delta_absolute_past,delta_percentage_past
2.34,190.0,23.75,190.0,23.75
5.37,208.0,26.0,208.0,26.0
10.3,236.0,29.5,236.0,29.5
13.36,226.0,28.249999999999996,226.0,28.249999999999996
17.29,214.0,26.75,214.0,26.75
20.37,172.0,21.5,172.0,21.5
23.46,158.0,19.75,158.0,19.75
27.3,204.0,25.5,204.0,25.5
30.37,220.0,27.500000000000004,220.0,27.500000000000004
33.39,166.0,20.75,166.0,20.75
37.23,148.0,18.5,148.0,18.5
40.31,210.0,26.25,210.0,26.25
43.37,240.0,30.0,240.0,30.0
47.3,204.0,25.5,204.0,25.5
50.29,236.0,29.5,236.0,29.5
53.36,210.0,26.25,210.0,26.25
57.29,176.0,22.0,176.0,22.0
60.29,222.0,27.750000000000004,222.0,27.750000000000004
63.37,204.0,25.5,782.0,352.2522522522523
67.16,178.0,22.25,774.0,379.4117647058823
70.3,184.0,23.0,806.0,452.80898876404495
73.36,170.0,21.25,786.0,427.17391304347825
76.78,162.0,20.25,792.0,465.8823529411765
80.3,118.0,14.75,756.0,466.6666666666667
83.38,160.0,20.0,842.0,713.5593220338983
86.53,218.0,27.250000000000004,858.0,536.25
90.31,210.0,26.25,792.0,363.30275229357795
93.37,228.0,28.499999999999996,818.0,389.5238095238095
96.78,206.0,25.75,778.0,341.22807017543863
100.29,224.0,28.000000000000004,818.0,397.0873786407767
103.37,182.0,22.75,758.0,338.39285714285717
106.78,192.0,24.0,810.0,445.05494505494505
110.3,168.0,21.0,776.0,404.1666666666667
113.36,188.0,23.5,820.0,488.09523809523813
116.6,208.0,26.0,820.0,436.17021276595744
120.3,204.0,25.5,796.0,382.69230769230774
123.37,182.0,22.75,778.0,381.37254901960785
126.43,182.0,22.75,800.0,439.5604395604396
130.3,184.0,23.0,802.0,440.65934065934067
133.34,206.0,25.75,822.0,446.7391304347826
136.41,202.0,25.25,796.0,386.4077669902913
140.3,126.0,15.75,724.0,358.41584158415844
143.33,204.0,25.5,878.0,696.8253968253969
146.4,164.0,20.5,760.0,372.54901960784315
150.29,212.0,26.5,848.0,517.0731707317074
153.37,224.0,28.000000000000004,812.0,383.0188679245283
156.4,194.0,24.25,770.0,343.75
160.3,222.0,27.750000000000004,828.0,426.8041237113402
163.32,204.0,25.5,782.0,352.2522522522523
166.37,188.0,23.5,784.0,384.3137254901961
